"AGIX Holdings","As of 2025-08-14","Holdings Are Subject To Change"
Rank,Company Name,% of Net Assets,Ticker,Identifier,Shares Held,Market Value($)
1,META PLATFORMS INC,5.87,META,US30303M1027,"4,290","3,355,338"
2,MICROSOFT CORP,5.56,MSFT,US5949181045,"6,084","3,178,768"
3,AMAZON.COM INC,4.3,AMZN,US0231351067,"10,636","2,456,703"
4,NVIDIA CORP,3.97,NVDA,US67066G1040,"12,465","2,268,879"
5,ALPHABET INC-CL A,3.52,NasdaqGS:GOOGL,US02079K3059,"9,929","2,014,991"
6,SERVICENOW INC,2.79,NOW,US81762P1021,"1,876","1,596,213"
7,APPLE INC,2.68,AAPL,US0378331005,"6,585","1,532,856"
8,"ANTHROPIC, PBC",2.65,NA,–,"17,829","1,515,465"
9,NETFLIX INC,2.63,NFLX,US64110L1061,"1,220","1,501,283"
10,XAI HOLDINGS CORP,2.62,NA,–,"41,029","1,500,020"
11,TESLA INC,2.58,TSLA,US88160R1014,"4,405","1,478,230"
12,PALANTIR TECHN-A,2.52,PLTR,US69608A1088,"7,956","1,440,195"
13,TEMPUS AI INC,2.38,TEM,US88023B1035,"19,014","1,361,212"
14,DUOLINGO,2.36,DUOL,US26603R1068,"4,092","1,349,869"
15,BROADCOM INC,2.35,AVGO,US11135F1012,"4,314","1,342,646"
16,NEBIUS GROUP NV,2.33,NBIS,NL0009805522,"19,439","1,330,794"
17,SALESFORCE INC,2.25,CRM,US79466L3024,"5,525","1,289,369"
18,ORACLE CORP,2.25,ORCL,US68389X1054,"5,263","1,289,224"
19,TSMC,2.13,TWSE:2330,TW0002330008,"31,000","1,215,869"
20,SAP SE,2.09,SAP,DE0007164600,"4,273","1,194,114"
21,ADOBE INC,1.88,ADBE,US00724F1012,"3,081","1,073,975"
22,APPLOVIN CORP-CLASS A,1.84,APP,US03831W1080,"2,432","1,053,883"
23,COREWEAVE INC-CL A,1.73,CRWV,US21873S1087,"9,928","987,886"
24,SNOWFLAKE INC,1.69,SNOW,US8334451098,"4,966","967,873"
25,DATADOG INC - CLASS A,1.64,DDOG,US23804L1035,"7,518","936,141"
26,SAMSARA INC-CL A,1.63,IOT,US79589L1061,"29,010","934,702"
27,ROBLOX CORP -CLASS A,1.61,RBLX,US7710491033,"7,345","920,182"
28,ELASTIC NV,1.56,ESTC,NL0013056914,"11,652","890,446"
29,CLOUDFLARE INC - CLASS A,1.55,NET,US18915M1071,"4,536","886,244"
30,SK HYNIX INC,1.47,KOSE:A000660,KR7000660001,"4,202","840,704"
31,TWILIO INC - A,1.46,TWLO,US90138F1021,"8,293","836,266"
32,SHOPIFY INC - CLASS A,1.42,SHOP,CA82509L1076,"5,608","811,088"
33,ADVANCED MICRO DEVICES,1.39,AMD,US0079031078,"4,403","796,723"
34,ASTERA LABS INC,1.38,ALAB,US04626A1034,"4,152","791,745"
35,WORKDAY INC-CLASS A,1.23,WDAY,US98138H1014,"3,177","705,040"
36,ASML HOLDING NV,1.23,NasdaqGS:ASML,NL0010273215,940,"704,704"
37,MARVELL TECHNOLOGY INC,1.2,MRVL,US5738741041,"8,688","686,700"
38,PURE STORAGE-A,1.19,PSTG,US74624M1027,"11,789","681,994"
39,MONGODB INC,1.12,MDB,US60937P1066,"3,144","642,539"
40,CONFLUENT INC-CLASS A,1.09,CFLT,US20717M1036,"35,030","625,286"
41,ATLASSIAN CORP-CL A,1.09,TEAM,US0494681010,"3,798","624,353"
42,GITLAB INC-CL A,1.09,GTLB,US37637K1088,"15,181","621,662"
43,ARISTA NETWORKS INC,1.08,ANET,US0404132054,"4,518","616,617"
44,VERTIV HOLDINGS CO-A,1.07,VRT,US92537N1081,"4,633","613,965"
45,ZSCALER INC,1.05,ZS,US98980G1022,"2,220","601,598"
46,MICRON TECHNOLOGY INC,1.02,MU,US5951121038,"4,635","580,719"
47,SYNOPSYS INC,0.99,SNPS,US8716071076,920,"567,051"
48,PALO ALTO NETWORKS INC,0.99,PANW,US6974351057,"3,255","564,905"
49,ARM HOLDINGS PLC-ADR,0.83,ARM,US0420682058,"3,358","471,967"
50,CISCO SYSTEMS INC,0.82,CSCO,US17275R1023,"6,741","467,151"
51,MEDIATEK INC,0.81,TWSE:2454,TW0002454006,"10,000","463,983"
52,Cash,0.02,,–,"9,849","9,849"
53,EURO,0.0,,–,44,51
54,CANADIAN DOLLAR,0.0,,–,5,4
